2020-07-20 22:01:10.214 [restartedMain] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3b1486e5, org.springframework.security.web.context.SecurityContextPersistenceFilter@7dc00145, org.springframework.security.web.header.HeaderWriterFilter@2d33aaf, org.springframework.security.web.authentication.logout.LogoutFilter@56f82193, org.springframework.web.filter.CorsFilter@162e0d63, com.csjx.infrastructuremongodb.baseconfig.security.JwtAuthenticationFilter@4b218bb, com.csjx.infrastructuremongodb.basefilter.OptionsRequestFilter@f7b226d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@210c7f02, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6e04f5de, com.csjx.infrastructuremongodb.basefilter.UserResourceFilter@13205149, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5a0fefd9, org.springframework.security.web.session.SessionManagementFilter@252499f8, org.springframework.security.web.access.ExceptionTranslationFilter@c6e415d, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@538c8fc5]
2020-07-20 22:01:10.393 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-20 22:01:10.722 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-07-20 22:01:10.755 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-07-20 22:01:10.765 [restartedMain] INFO  com.csjx.qszs.MainApplication - Started MainApplication in 5.309 seconds (JVM running for 6.051)
2020-07-20 22:02:15.626 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-07-19 22:02:38.530 [restartedMain] INFO  com.csjx.qszs.MainApplication - Starting MainApplication on BigdeMacBook-Pro.local with PID 85028 (/Users/bigduu/Documents/git/back-end/java/qszs-be/target/classes started by bigduu in /Users/bigduu/Documents/git/back-end/java/qszs-be)
2020-07-19 22:02:38.534 [restartedMain] INFO  com.csjx.qszs.MainApplication - The following profiles are active: dev
2020-07-19 22:02:38.615 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-07-19 22:02:38.616 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-07-19 22:02:39.352 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-07-19 22:02:39.353 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2020-07-19 22:02:39.454 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 97ms. Found 7 MongoDB repository interfaces.
2020-07-19 22:02:39.606 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-07-19 22:02:39.607 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-07-19 22:02:39.633 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.csjx.qszs.service.captcha.repository.CaptchaRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
2020-07-19 22:02:39.634 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.csjx.qszs.service.dept.repositoy.DeptRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
2020-07-19 22:02:39.635 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.csjx.qszs.service.role.repositoy.RoleRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
2020-07-19 22:02:39.636 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.csjx.qszs.service.route.repositoy.RouteRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
2020-07-19 22:02:39.637 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.csjx.qszs.service.store.repository.StoreRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
2020-07-19 22:02:39.638 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.csjx.qszs.service.supplier.repository.SupplierRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
2020-07-19 22:02:39.638 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.csjx.qszs.service.user.repositoy.UserRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
2020-07-19 22:02:39.639 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 24ms. Found 0 Redis repository interfaces.
2020-07-19 22:02:40.141 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@76eec325' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-07-19 22:02:40.148 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-07-19 22:02:40.527 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-07-19 22:02:40.535 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-07-19 22:02:40.536 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-07-19 22:02:40.536 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.35]
2020-07-19 22:02:40.610 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-07-19 22:02:40.610 [restartedMain] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1994 ms
2020-07-19 22:02:41.145 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2020-07-19 22:02:41.812 [restartedMain] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3a9532cd, org.springframework.security.web.context.SecurityContextPersistenceFilter@46cecf1, org.springframework.security.web.header.HeaderWriterFilter@34f718c2, org.springframework.security.web.authentication.logout.LogoutFilter@47191c38, org.springframework.web.filter.CorsFilter@250c9a6d, com.csjx.infrastructuremongodb.baseconfig.security.JwtAuthenticationFilter@3f43c6c2, com.csjx.infrastructuremongodb.basefilter.OptionsRequestFilter@11f1a98b, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@499a13cb, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7eafaedb, com.csjx.infrastructuremongodb.basefilter.UserResourceFilter@2854b3f0, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5f94238b, org.springframework.security.web.session.SessionManagementFilter@4244ce49, org.springframework.security.web.access.ExceptionTranslationFilter@6219bd83, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@75623d81]
2020-07-19 22:02:41.992 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-19 22:02:42.315 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-07-19 22:02:42.347 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-07-19 22:02:42.359 [restartedMain] INFO  com.csjx.qszs.MainApplication - Started MainApplication in 4.372 seconds (JVM running for 5.433)
